post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;meta:total_sales;meta:_global_unique_id;meta:_aioseo_title;meta:_aioseo_description;meta:_aioseo_keywords;meta:_aioseo_og_title;meta:_aioseo_og_description;meta:_aioseo_twitter_title;meta:_aioseo_og_article_tags;meta:_aioseo_twitter_description;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;tax:product_brand;attribute:Marca;attribute_data:Marca
"Lavastoviglie sottobanco serie UC-S Winterhalter nuova";lavastoviglie-sottobanco-serie-uc-s-winterhalter-nuova;;3189851;"<strong>Lavastoviglie sottobanco serie UC-S Winterhalter</strong>

- Incluso kit cestelli
- Dimensioni cestello 400x400 mm
- Voltaggio 380-415 V
- Potenza:  11.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Lavastoviglie sottobanco serie UC-S Winterhalter</strong>

- Incluso kit cestelli
- Dimensioni cestello 400x400 mm
- Voltaggio 380-415 V
- Potenza:  11.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;3189851;;;no;no;;5970;;;70;46;60;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/3189851-1-scaled.jpg ! alt :  ! title : 3189851-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/lavastoviglie-sottobanco-serie-uc-s-winterhalter-nuova/;0;;;;;;;;;;simple;;Occasioni;;;;Winterhalter;0|1|0
"Lavastoviglie sottobanco serie UC-M Winterhalter nuova";lavastoviglie-sottobanco-serie-uc-m-winterhalter-nuova;;3212750;"<strong>Lavastoviglie sottobanco serie UC-M Winterhalter</strong>

- Incluso kit cestelli
- Dimensioni cestello 500x500 mm
- Voltaggio 380-415 V
- Potenza: 11.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Lavastoviglie sottobanco serie UC-M Winterhalter</strong>

- Incluso kit cestelli
- Dimensioni cestello 500x500 mm
- Voltaggio 380-415 V
- Potenza: 11.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;3212750;;;no;no;;6090;;;70;60;60;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/3212750-1-scaled.jpg ! alt :  ! title : 3212750-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/lavastoviglie-sottobanco-serie-uc-m-winterhalter-nuova/;0;;;;;;;;;;simple;;Occasioni;;;;Winterhalter;0|1|0
"Sistema osmosi winterhalter AT-Excellence - M nuovo";sistema-osmosi-winterhalter-at-excellence-m-nuovo;;5019235;"<strong>Sistema osmosi winterhalter AT-Excellence - M nuovo</strong>
- Nuovo
- Dim 36x49x48
- Potenza: 0.45 - 0.67 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Sistema osmosi winterhalter AT-Excellence - M nuovo</strong>
- Nuovo
- Dim 36x49x48
- Potenza: 0.45 - 0.67 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;5019235;;;no;no;;3015;;;36;49;48;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/5019235-1-scaled.jpeg ! alt :  ! title : 5019235-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/sistema-osmosi-winterhalter-at-excellence-m-nuovo/;0;;;;;;;;;;simple;;Occasioni;;;;Winterhalter;0|1|0
"Asciugatrice elettrica Samsung 10 KG mod. DV431AEP";aaciugatrice-elettrica-samsung-10-kg-mod-dv431aep;;5616177;"Asciugatrice elettrica Samsung capacità 10 kg mod. DV431AEP.

Alimentazione elettrica monofase

Programmi di asciugatura selezionabili : 13

Capacità 10 kg

1200 giri

Nuovo

- Potenza:  4.5 - 5.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"Asciugatrice elettrica Samsung capacità 10 kg mod. DV431AEP.

Alimentazione elettrica monofase

Programmi di asciugatura selezionabili : 13

Capacità 10 kg

1200 giri

Nuovo

- Potenza:  4.5 - 5.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2021-03-17 11:46:39";2;open;DV431AEP;;;no;no;;2600;;;;;;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2021/03/d21acb8e-eeaa-479c-83dc-d9490843c189-2187-000001a7b6b9f40e_file-scaled.jpeg ! alt :  ! title : d21acb8e-eeaa-479c-83dc-d9490843c189-2187-000001a7b6b9f40e_file ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2021/03/69593475-723d-4e49-b21b-f64729a4adfd-2187-000001a79ca8e513_file-scaled.jpeg ! alt :  ! title : 69593475-723d-4e49-b21b-f64729a4adfd-2187-000001a79ca8e513_file ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2021/03/7a404663-1f84-4ade-bfae-33233d3f070a-2187-000001a787e722d4_file-scaled.jpeg ! alt :  ! title : 7a404663-1f84-4ade-bfae-33233d3f070a-2187-000001a787e722d4_file ! desc :  ! caption : ";;https://www.borz.it/prodotto/aaciugatrice-elettrica-samsung-10-kg-mod-dv431aep/;0;;;;[];;;;[];;simple;;"IN PRONTA CONSEGNA|Occasioni";;;;;0|1|0
"Carrello Inox Rational esposizione";carrello-inox-rational-esposizione;;6061047;"<strong>Carrello Inox Rational esposizione</strong>
- codici:
   - 60.61.047 (32 piatti) 
   - 60.60.020
- Per alloggiamento piatti
- Con ripiano
- Dim: 90x45x160 
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Carrello Inox Rational esposizione</strong>
- codici:
   - 60.61.047 (32 piatti) 
   - 60.60.020
- Per alloggiamento piatti
- Con ripiano
- Dim: 90x45x160 
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;6061047-6060020;;;no;no;;590;;;90;45;160;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/05/6061047-6060020.jpg ! alt :  ! title : 6061047-6060020 ! desc :  ! caption : ";;https://www.borz.it/prodotto/carrello-inox-rational-esposizione/;0;;;;;;;;;;simple;;Occasioni;;;;Rational;0|1|0
"Frytop a gas rigata usata";frytop-a-gas-rigata-usata;;10400340;"<strong>Frytop a gas rigata usata</strong>
- Alimentazione a gas 
- Su Armadio a giorno
- Dim 40x90x88
- Potenza: 7.3 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Frytop a gas rigata usata</strong>
- Alimentazione a gas 
- Su Armadio a giorno
- Dim 40x90x88
- Potenza: 7.3 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-21 12:00:00";4163;open;10400340;;;no;no;;930;;;40;90;88;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/10400340-1-scaled.jpg ! alt :  ! title : 10400340-1.jpg ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/10400340_1-scaled.jpg ! alt :  ! title : 10400340_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/frytop-a-gas-rigata-usata/;0;;;;[];;;;[];;simple;;Occasioni;;;;;0|1|0
"Forno a convezione/vapore Gico";forno-a-convezione-vapore-gico;;17904001;"<strong>Forno a convezione/vapore Gico</strong>
 - Alimentazione a gas + monofase 220 V
 - Capacita 5 teglie
 - Supporto non incluso
- Potenza: 19.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno a convezione/vapore Gico</strong>
 - Alimentazione a gas + monofase 220 V
 - Capacita 5 teglie
 - Supporto non incluso
- Potenza: 19.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-12-03 15:00:00";4163;open;17904001;;;no;no;;900;;;90;75;70;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/12/17904001.jpg ! alt :  ! title : 17904001 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-a-convezione-vapore-gico/;0;;;;;;;;;;simple;;Occasioni;;;;;0|1|0
"Cutter sirman C4W";cutter-sirman-c4w;;40800502;"<strong>Cutter sirman C4W</strong>
- Alimentazione elettrica monofase
- Potenza 600 w
- Variatore velocita
- Dim 35x18x25
- Potenza: 0.6 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Cutter sirman C4W</strong>
- Alimentazione elettrica monofase
- Potenza 600 w
- Variatore velocita
- Dim 35x18x25
- Potenza: 0.6 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;40800502P;;;no;no;;804;;;35;18;25;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/40800502P-1-scaled.jpeg ! alt :  ! title : 40800502P-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/cutter-sirman-c4w/;0;;;;;;;;;;simple;;Occasioni;;;;Sirman;0|1|0
"Lavello con piano in acciaio de Manincor usato";lavello-con-piano-in-acciaio-de-manincor-usato;;100010102;"<strong>Lavello con piano in acciaio de Manincor usato</strong>
- Con ripiano di fondo
- Incluso miscelatore a leva clinica
- Doppia Vasca
- Gocciolatoio a sinistra
- Dim: 200x70x85 cm
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Lavello con piano in acciaio de Manincor usato</strong>
- Con ripiano di fondo
- Incluso miscelatore a leva clinica
- Doppia Vasca
- Gocciolatoio a sinistra
- Dim: 200x70x85 cm
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010102;;;no;no;;295;;;200;70;85;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010102.jpg ! alt :  ! title : 100010102 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010102-1.jpg ! alt :  ! title : 100010102-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/lavello-con-piano-in-acciaio-de-manincor-usato/;0;;;;[];;;;[];;simple;;Occasioni;;;;"de Manincor";0|1|0
"Forno a convezione/vapore Rational self cooking center 101 G usato";forno-a-convezione-vapore-rational-self-cooking-center-101-g-usato;;100010103;"<strong>Forno a convezione/vapore Rational self cooking center 101 G usato</strong>
- Capacita 10 teglie GN 1/1
- Alimentazione a metano
- Lavaggio automatico
- Ottime condizioni
- Dim: 85x80x103 cm
- Potenza: 0.39 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno a convezione/vapore Rational self cooking center 101 G usato</strong>
- Capacita 10 teglie GN 1/1
- Alimentazione a metano
- Lavaggio automatico
- Ottime condizioni
- Dim: 85x80x103 cm
- Potenza: 0.39 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010103;;;no;no;;3150;;;85;80;103;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010103.jpg ! alt :  ! title : 100010103 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010103-1.jpg ! alt :  ! title : 100010103-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-a-convezione-vapore-rational-self-cooking-center-101-g-usato/;0;;;;[];;;;[];;simple;;Occasioni;;;;Rational;0|1|0
"Abbattitore Coldline usato VISION";abbattitore-coldline-usato-vision;;100010105;"<strong>Abbattitore Coldline usato VISION</strong>
- Abbattimento positivo e negativo
- Motore incorporato
- Dim 78x80x160
- Potenza: 5.211 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Abbattitore Coldline usato VISION</strong>
- Abbattimento positivo e negativo
- Motore incorporato
- Dim 78x80x160
- Potenza: 5.211 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010105;;;no;no;;1990;;;78;80;160;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010105.jpg ! alt :  ! title : 100010105 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010105-1.jpg ! alt :  ! title : 100010105-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/abbattitore-coldline-usato-vision/;0;;;;[];;;;[];;simple;;Occasioni;;;;Coldline;0|1|0
"Macchina Formatrice pizze usata OEM";macchina-formatrice-pizze-usata-oem;;100010106;"<strong>Macchina Formatrice pizze usata OEM</strong>
- Alimentazione elettrica trifase
- Condizioni: Da revisionare
- Dim: 75x75x135
- Potenza: 0.02 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Macchina Formatrice pizze usata OEM</strong>
- Alimentazione elettrica trifase
- Condizioni: Da revisionare
- Dim: 75x75x135
- Potenza: 0.02 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010106;;;no;no;;550;;;75;75;135;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010106.png ! alt :  ! title : 100010106 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010106-1.jpg ! alt :  ! title : 100010106-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/macchina-formatrice-pizze-usata-oem/;0;;;;[];;;;[];;simple;;Occasioni;;;;OEM;0|1|0
"Forno convezione usato unox 10 teglie";forno-convezione-usato-unox-10-teglie;;100010107;"<strong>Forno convezione usato unox 10 teglie</strong>
- Alimentazione a gas
- Alimentazione pannello elettrico monofase
- condizioni: ottime
- Dim 75x72x95
- Potenza: 0.92 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno convezione usato unox 10 teglie</strong>
- Alimentazione a gas
- Alimentazione pannello elettrico monofase
- condizioni: ottime
- Dim 75x72x95
- Potenza: 0.92 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010107;;;no;no;;3000;;;75;72;95;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010107.jpg ! alt :  ! title : 100010107 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010107-1.jpg ! alt :  ! title : 100010107-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-convezione-usato-unox-10-teglie/;0;;;;[];;;;[];;simple;;Occasioni;;;;Unox;0|1|0
